Pipeline,Metric,Mean,CI,Lower,Upper
base,VLM_AS_orig,1.864198,0.138928,1.725269,2.003126
base,VLM_AS_final,1.041152,0.025729,1.015423,1.066882
SA,VLM_AS_orig,2.753086,0.169064,2.584022,2.922151
SA,VLM_AS_final,2.884774,0.148624,2.736149,3.033398
MAS,VLM_AS_orig,2.942387,0.176325,2.766062,3.118712
MAS,VLM_AS_final,2.843621,0.143033,2.700589,2.986654
MAP,VLM_AS_orig,3.000000,0.171162,2.828838,3.171162
MAP,VLM_AS_final,2.720165,0.145074,2.575090,2.865239
