Pipeline,Metric,Mean,CI,Lower,Upper
base,AS_orig,0.325401,0.005353,0.320048,0.330754
base,AS_final,0.274096,0.005334,0.268762,0.279430
SA,AS_orig,0.335874,0.003946,0.331928,0.339821
SA,AS_final,0.377092,0.003787,0.373305,0.380879
MAS,AS_orig,0.334468,0.004700,0.329768,0.339168
MAS,AS_final,0.352789,0.004322,0.348467,0.357111
MAP,AS_orig,0.341425,0.004461,0.336965,0.345886
MAP,AS_final,0.358158,0.004116,0.354042,0.362273
